product_id,product_name,category,subcategory,brand,base_price,margin_rate,launch_date,active
P1001,SummitRunner Lightweight Jacket 200,outerwear,rain shell,Rocky Top Outfitters,130.82,0.54,2019-01-01,Y
P1002,RidgeRover Mid Trail Shoes 201,footwear,trail shoes,Highland Ember,203.43,0.42,2020-02-02,Y
P1003,CreekRambler 2P Camp Chair 202,camping,camp chair,Creekline,448.98,0.32,2021-03-03,Y
P1004,StormNomad Compact Cooler 203,patio,cooler,Moss & Mile,109.9,0.31,2022-04-04,Y
P1005,EmberRunner Storm Kit Battery Pack 204,emergency,battery pack,Blue Ridge Works,111.54,0.44,2023-05-05,Y
P1006,TrailRover 20oz Tumbler 205,hydration,insulated tumbler,Summit Finch,55.91,0.54,2024-06-06,Y
P1007,HearthRambler Stormproof Jacket 206,outerwear,rain shell,Switchback Supply,112.42,0.43,2025-07-07,Y
P1008,CanyonNomad Waterproof Trail Shoes 207,footwear,trail shoes,TrailForge,175.5,0.47,2019-08-08,Y
P1009,PineRunner 4P Tent 208,camping,tent,Rocky Top Outfitters,115.26,0.32,2020-09-09,Y
P1010,VistaRover Deluxe Patio Heater 209,patio,patio heater,Highland Ember,552.43,0.32,2021-10-10,Y
P1011,BoulderRambler Rechargeable Flashlight 210,emergency,flashlight,Creekline,133.07,0.35,2022-11-11,Y
P1012,CloudNomad 32oz Tumbler 211,hydration,insulated tumbler,Moss & Mile,123.66,0.54,2023-12-12,Y
P1013,FieldRunner Packable Jacket 212,outerwear,rain shell,Blue Ridge Works,97.39,0.53,2024-01-13,Y
P1014,SwitchbackRover Wide Trail Shoes 213,footwear,trail shoes,Summit Finch,204.67,0.36,2025-02-14,Y
P1015,MoonRambler Ultralight Camp Chair 214,camping,camp chair,Switchback Supply,191.87,0.42,2019-03-15,Y
P1016,PeakNomad XL Cooler 215,patio,cooler,TrailForge,634.09,0.38,2020-04-16,Y
P1017,SummitRunner Mini Battery Pack 216,emergency,battery pack,Rocky Top Outfitters,64.63,0.37,2021-05-17,Y
P1018,RidgeRover Trail Tumbler 217,hydration,insulated tumbler,Highland Ember,153.36,0.53,2022-06-18,Y
P1019,CreekRambler Alpine Jacket 218,outerwear,rain shell,Creekline,178.99,0.5,2023-07-19,Y
P1020,StormNomad Approach Trail Shoes 219,footwear,trail shoes,Moss & Mile,211.48,0.43,2024-08-20,Y
P1021,EmberRunner Basecamp Tent 220,camping,tent,Blue Ridge Works,73.74,0.35,2025-09-21,Y
P1022,TrailRover Weekend Patio Heater 221,patio,patio heater,Summit Finch,388.71,0.39,2019-10-22,Y
P1023,HearthRambler Expedition Flashlight 222,emergency,flashlight,Switchback Supply,141.44,0.4,2020-11-23,Y
P1024,CanyonNomad Travel Tumbler 223,hydration,insulated tumbler,TrailForge,90.59,0.4,2021-12-24,Y
P1025,PineRunner Lightweight Jacket 224,outerwear,rain shell,Rocky Top Outfitters,124.6,0.42,2022-01-01,Y
P1026,VistaRover Mid Trail Shoes 225,footwear,trail shoes,Highland Ember,130.4,0.45,2023-02-02,Y
P1027,BoulderRambler 2P Camp Chair 226,camping,camp chair,Creekline,92.03,0.3,2024-03-03,Y
P1028,CloudNomad Compact Cooler 227,patio,cooler,Moss & Mile,647.52,0.37,2025-04-04,Y
P1029,FieldRunner Storm Kit Battery Pack 228,emergency,battery pack,Blue Ridge Works,125.93,0.47,2019-05-05,Y
P1030,SwitchbackRover 20oz Tumbler 229,hydration,insulated tumbler,Summit Finch,126.26,0.47,2020-06-06,Y
P1031,MoonRambler Stormproof Jacket 230,outerwear,rain shell,Switchback Supply,173.53,0.39,2021-07-07,Y
P1032,PeakNomad Waterproof Trail Shoes 231,footwear,trail shoes,TrailForge,194.08,0.42,2022-08-08,Y
P1033,SummitRunner 4P Tent 232,camping,tent,Rocky Top Outfitters,189.46,0.4,2023-09-09,Y
P1034,RidgeRover Deluxe Patio Heater 233,patio,patio heater,Highland Ember,168.86,0.4,2024-10-10,Y
P1035,CreekRambler Rechargeable Flashlight 234,emergency,flashlight,Creekline,147.73,0.42,2025-11-11,Y
P1036,StormNomad 32oz Tumbler 235,hydration,insulated tumbler,Moss & Mile,157.72,0.37,2019-12-12,Y
P1037,EmberRunner Packable Jacket 236,outerwear,rain shell,Blue Ridge Works,91.75,0.45,2020-01-13,Y
P1038,TrailRover Wide Trail Shoes 237,footwear,trail shoes,Summit Finch,196.88,0.36,2021-02-14,Y
P1039,HearthRambler Ultralight Camp Chair 238,camping,camp chair,Switchback Supply,367.84,0.37,2022-03-15,Y
P1040,CanyonNomad XL Cooler 239,patio,cooler,TrailForge,108.81,0.26,2023-04-16,Y
P1041,PineRunner Mini Battery Pack 240,emergency,battery pack,Rocky Top Outfitters,54.6,0.48,2024-05-17,Y
P1042,VistaRover Trail Tumbler 241,hydration,insulated tumbler,Highland Ember,115.25,0.46,2025-06-18,Y
P1043,BoulderRambler Alpine Jacket 242,outerwear,rain shell,Creekline,241.0,0.39,2019-07-19,Y
P1044,CloudNomad Approach Trail Shoes 243,footwear,trail shoes,Moss & Mile,189.25,0.47,2020-08-20,Y
P1045,FieldRunner Basecamp Tent 244,camping,tent,Blue Ridge Works,348.41,0.43,2021-09-21,Y
P1046,SwitchbackRover Weekend Patio Heater 245,patio,patio heater,Summit Finch,233.42,0.32,2022-10-22,Y
P1047,MoonRambler Expedition Flashlight 246,emergency,flashlight,Switchback Supply,56.9,0.36,2023-11-23,Y
P1048,PeakNomad Travel Tumbler 247,hydration,insulated tumbler,TrailForge,70.28,0.36,2024-12-24,Y
P1049,SummitRunner Lightweight Jacket 248,outerwear,rain shell,Rocky Top Outfitters,222.01,0.55,2025-01-01,Y
P1050,RidgeRover Mid Trail Shoes 249,footwear,trail shoes,Highland Ember,75.31,0.36,2019-02-02,Y
P1051,CreekRambler 2P Camp Chair 250,camping,camp chair,Creekline,424.15,0.29,2020-03-03,Y
P1052,StormNomad Compact Cooler 251,patio,cooler,Moss & Mile,388.91,0.39,2021-04-04,Y
P1053,EmberRunner Storm Kit Battery Pack 252,emergency,battery pack,Blue Ridge Works,108.53,0.44,2022-05-05,Y
P1054,TrailRover 20oz Tumbler 253,hydration,insulated tumbler,Summit Finch,70.68,0.47,2023-06-06,Y
P1055,HearthRambler Stormproof Jacket 254,outerwear,rain shell,Switchback Supply,277.57,0.43,2024-07-07,Y
P1056,CanyonNomad Waterproof Trail Shoes 255,footwear,trail shoes,TrailForge,144.01,0.36,2025-08-08,Y
P1057,PineRunner 4P Tent 256,camping,tent,Rocky Top Outfitters,410.17,0.37,2019-09-09,Y
P1058,VistaRover Deluxe Patio Heater 257,patio,patio heater,Highland Ember,263.59,0.36,2020-10-10,Y
P1059,BoulderRambler Rechargeable Flashlight 258,emergency,flashlight,Creekline,105.5,0.37,2021-11-11,Y
P1060,CloudNomad 32oz Tumbler 259,hydration,insulated tumbler,Moss & Mile,154.39,0.54,2022-12-12,Y
P1061,FieldRunner Packable Jacket 260,outerwear,rain shell,Blue Ridge Works,147.84,0.53,2023-01-13,Y
P1062,SwitchbackRover Wide Trail Shoes 261,footwear,trail shoes,Summit Finch,170.69,0.4,2024-02-14,Y
P1063,MoonRambler Ultralight Camp Chair 262,camping,camp chair,Switchback Supply,79.92,0.28,2025-03-15,Y
P1064,PeakNomad XL Cooler 263,patio,cooler,TrailForge,614.45,0.38,2019-04-16,Y
P1065,SummitRunner Mini Battery Pack 264,emergency,battery pack,Rocky Top Outfitters,112.86,0.35,2020-05-17,Y
P1066,RidgeRover Trail Tumbler 265,hydration,insulated tumbler,Highland Ember,104.88,0.47,2021-06-18,Y
P1067,CreekRambler Alpine Jacket 266,outerwear,rain shell,Creekline,266.98,0.46,2022-07-19,Y
P1068,StormNomad Approach Trail Shoes 267,footwear,trail shoes,Moss & Mile,80.92,0.34,2023-08-20,Y
P1069,EmberRunner Basecamp Tent 268,camping,tent,Blue Ridge Works,256.36,0.41,2024-09-21,Y
