order_id,order_date,store_id,product_id,new_product_id,canonical_product_id,canonical_product_name,quantity,unit_price,discount_pct,net_sales,sales_channel,loyalty_member
20260712-0001,2026-07-12,S003,P1012,,NP5012,CloudNomad 32oz Tumbler 211,1,117.48,5,117.48,in_store,Y
20260712-0002,2026-07-12,S008,P1038,,NP5038,Trail Rover Wide Trail Shoes 237,2,196.88,0,393.76,in_store,Y
20260712-0003,2026-07-12,S007,P1039,,NP5039,HearthRambler Ultralight Camp Chair 238,1,312.66,15,312.66,ship_from_store,N
20260712-0004,2026-07-12,S002,P1048,,NP5048,PeakNomad Travel Tumbler 247,1,63.25,10,63.25,pickup,Y
20260712-0005,2026-07-12,S004,P1011,,NP5011,BoulderRambler Rechargeable Flashlight 210,2,106.46,20,212.92,pickup,Y
20260712-0006,2026-07-12,S001,P1037,,NP5037,EmberRunner Packable Jacket 236,1,91.75,0,91.75,in_store,Y
20260712-0007,2026-07-12,S005,P1078,,NP5078,SwitchbackRover Insulated Tumbler Alt,1,146.35,0,146.35,pickup,Y
20260712-0008,2026-07-12,S001,P1056,,NP5056,CanyonNomad Waterproof Trail Shoes 255,1,115.21,20,115.21,in_store,Y
20260712-0009,2026-07-12,S005,P1042,,NP5042,VistaRover Trail Tumbler 241,1,92.2,20,92.2,in_store,Y
20260712-0010,2026-07-12,S005,P1054,,NP5054,Trail Rover 20oz Tumbler 253,2,56.54,20,113.08,in_store,Y
20260712-0011,2026-07-12,S003,P1029,,NP5029,FieldRunner Storm Kit Battery Pack 228,3,107.04,15,321.12,in_store,N
20260712-0012,2026-07-12,S007,P1072,,NP5070,FieldPacer Insulated Tumbler,1,114.15,15,114.15,pickup,N
20260712-0013,2026-07-12,S006,P1065,,NP5065,SummitRunner Mini Battery Pack 264 Pro,1,112.86,0,112.86,in_store,N
20260712-0014,2026-07-12,S002,P1043,,NP5043,BoulderRambler Alpine Jacket 242,1,228.95,5,228.95,pickup,Y
20260712-0015,2026-07-12,S006,P1062,,NP5062,SwitchbackRover-Wide-Trail-Shoes-261,2,136.55,20,273.1,in_store,Y
20260712-0016,2026-07-12,S005,P1048,,NP5048,PeakNomad Travel Tumbler 247,4,59.74,15,238.96,in_store,N
20260712-0017,2026-07-12,S007,P1032,,NP5032,PeakNomad Waterproof Trail Shoes 231,3,164.97,15,494.91,ship_from_store,N
20260712-0018,2026-07-12,S004,P1032,,NP5032,PeakNomad Waterproof Trail Shoes 231,1,155.26,20,155.26,in_store,Y
20260712-0019,2026-07-12,S001,P1031,,NP5031,MoonRambler Storm proof Jacket 230,4,164.85,5,659.4,pickup,Y
20260712-0020,2026-07-12,S003,P1035,,NP5035,CreekRambler Rechargeable Flashlight 234,1,125.57,15,125.57,in_store,N
20260712-0021,2026-07-12,S005,P1028,,NP5028,CloudNomad Compact Cooler 227,1,518.02,20,518.02,in_store,Y
20260712-0022,2026-07-12,S001,P1018,,NP5018,RidgeRover Trail Tumbler 217,1,130.36,15,130.36,in_store,Y
20260712-0023,2026-07-12,S004,P1043,,NP5043,BoulderRambler Alpine Jacket 242,3,228.95,5,686.85,in_store,Y
20260712-0024,2026-07-12,S005,P1004,,NP5004,Storm Nomad Compact Cooler 203,1,104.41,5,104.41,pickup,Y
