order_date,store_id,canonical_product_id,canonical_product_name,canonical_category,canonical_subcategory,canonical_brand,product_system,product_reconciliation_status,product_reconciled_flag,order_count,order_line_count,units_sold,net_sales,average_discount_pct,discounted_order_line_count,average_net_unit_price
2026-07-12,S001,P1003,CreekRambler 2P Camp Chair 202,camping,camp chair,Creekline,legacy,legacy_original,True,1,1,3,1346.94,0.0,0,448.98
2026-07-12,S001,P1007,HearthRambler Stormproof Jacket 206,outerwear,rain shell,Switchback Supply,legacy,legacy_original,True,1,1,2,202.36,10.0,1,101.18
2026-07-12,S001,P1013,FieldRunner Packable Jacket 212,outerwear,rain shell,Blue Ridge Works,legacy,legacy_original,True,1,1,4,311.64,20.0,1,77.91
2026-07-12,S001,P1017,SummitRunner Mini Battery Pack 216,emergency,battery pack,Rocky Top Outfitters,legacy,legacy_original,True,1,1,3,174.51,10.0,1,58.17
2026-07-12,S001,P1018,RidgeRover Trail Tumbler 217,hydration,insulated tumbler,Highland Ember,legacy,legacy_original,True,2,2,3,391.08,15.0,2,130.36
2026-07-12,S001,P1024,CanyonNomad Travel Tumbler 223,hydration,insulated tumbler,TrailForge,legacy,legacy_original,True,1,1,2,181.18,0.0,0,90.59
2026-07-12,S001,P1027,BoulderRambler 2P Camp Chair 226,camping,camp chair,Creekline,legacy,legacy_original,True,1,1,1,87.43,5.0,1,87.43
2026-07-12,S001,P1028,CloudNomad Compact Cooler 227,patio,cooler,Moss & Mile,legacy,legacy_original,True,1,1,3,1942.56,0.0,0,647.52
2026-07-12,S001,P1029,FieldRunner Storm Kit Battery Pack 228,emergency,battery pack,Blue Ridge Works,legacy,legacy_original,True,1,1,1,125.93,0.0,0,125.93
2026-07-12,S001,P1031,MoonRambler Stormproof Jacket 230,outerwear,rain shell,Switchback Supply,legacy,legacy_original,True,1,1,4,659.4,5.0,1,164.85
2026-07-12,S001,P1037,EmberRunner Packable Jacket 236,outerwear,rain shell,Blue Ridge Works,legacy,legacy_original,True,1,1,1,91.75,0.0,0,91.75
2026-07-12,S001,P1054,TrailRover 20oz Tumbler 253,hydration,insulated tumbler,Summit Finch,legacy,legacy_original,True,1,1,1,70.68,0.0,0,70.68
2026-07-12,S001,P1056,CanyonNomad Waterproof Trail Shoes 255,footwear,trail shoes,TrailForge,legacy,legacy_original,True,1,1,1,115.21,20.0,1,115.21
2026-07-12,S001,P1060,CloudNomad 32oz Tumbler 259,hydration,insulated tumbler,Moss & Mile,legacy,legacy_original,True,1,1,3,440.01,5.0,1,146.67
2026-07-12,S001,P1074,VistaRover Mid Trail Shoes 273,footwear,trail shoes,Highland Ember,legacy,legacy_original,True,1,1,1,153.36,20.0,1,153.36
2026-07-12,S001,P1075,BoulderRambler 2P Camp Chair 274,camping,camp chair,Creekline,legacy,legacy_original,True,1,1,3,421.32,15.0,1,140.44
2026-07-12,S002,P1023,HearthRambler Expedition Flashlight 222,emergency,flashlight,Switchback Supply,legacy,legacy_original,True,1,1,1,141.44,0.0,0,141.44
2026-07-12,S002,P1034,RidgeRover Deluxe Patio Heater 233,patio,patio heater,Highland Ember,legacy,legacy_original,True,1,1,4,675.44,0.0,0,168.86
2026-07-12,S002,P1036,StormNomad 32oz Tumbler 235,hydration,insulated tumbler,Moss & Mile,legacy,legacy_original,True,1,1,1,149.83,5.0,1,149.83
2026-07-12,S002,P1039,HearthRambler Ultralight Camp Chair 238,camping,camp chair,Switchback Supply,legacy,legacy_original,True,1,1,4,1324.24,10.0,1,331.06
2026-07-12,S002,P1043,BoulderRambler Alpine Jacket 242,outerwear,rain shell,Creekline,legacy,legacy_original,True,1,1,1,228.95,5.0,1,228.95
2026-07-12,S002,P1048,PeakNomad Travel Tumbler 247,hydration,insulated tumbler,TrailForge,legacy,legacy_original,True,1,1,1,63.25,10.0,1,63.25
2026-07-12,S002,P1049,SummitRunner Lightweight Jacket 248,outerwear,rain shell,Rocky Top Outfitters,legacy,legacy_original,True,1,1,2,399.62,10.0,1,199.81
2026-07-12,S003,P1003,CreekRambler 2P Camp Chair 202,camping,camp chair,Creekline,legacy,legacy_original,True,1,1,2,763.26,15.0,1,381.63
2026-07-12,S003,P1006,TrailRover 20oz Tumbler 205,hydration,insulated tumbler,Summit Finch,legacy,legacy_original,True,2,2,3,156.55,10.0,1,52.18
2026-07-12,S003,P1012,CloudNomad 32oz Tumbler 211,hydration,insulated tumbler,Moss & Mile,legacy,legacy_original,True,1,1,1,117.48,5.0,1,117.48
