order_id,order_date,store_id,product_id,quantity,unit_price,discount_pct,sales_channel,loyalty_member,new_product_id,product_system,source_file,source_folder_date,proposed_legacy_product_id,match_status,match_score,review_note,source_product_id,product_reconciliation_status,product_reconciled_flag,canonical_product_id,legacy_product_name,legacy_category,legacy_subcategory,legacy_brand,new_product_name,new_category,new_subcategory,new_brand,canonical_product_name,canonical_category,canonical_subcategory,canonical_brand
20260712-0001,2026-07-12,S003,P1012,1,117.48,5,in_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1012,legacy_original,True,P1012,CloudNomad 32oz Tumbler 211,hydration,insulated tumbler,Moss & Mile,,,,,CloudNomad 32oz Tumbler 211,hydration,insulated tumbler,Moss & Mile
20260712-0002,2026-07-12,S008,P1038,2,196.88,0,in_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1038,legacy_original,True,P1038,TrailRover Wide Trail Shoes 237,footwear,trail shoes,Summit Finch,,,,,TrailRover Wide Trail Shoes 237,footwear,trail shoes,Summit Finch
20260712-0003,2026-07-12,S007,P1039,1,312.66,15,ship_from_store,N,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1039,legacy_original,True,P1039,HearthRambler Ultralight Camp Chair 238,camping,camp chair,Switchback Supply,,,,,HearthRambler Ultralight Camp Chair 238,camping,camp chair,Switchback Supply
20260712-0004,2026-07-12,S002,P1048,1,63.25,10,pickup,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1048,legacy_original,True,P1048,PeakNomad Travel Tumbler 247,hydration,insulated tumbler,TrailForge,,,,,PeakNomad Travel Tumbler 247,hydration,insulated tumbler,TrailForge
20260712-0005,2026-07-12,S004,P1011,2,106.46,20,pickup,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1011,legacy_original,True,P1011,BoulderRambler Rechargeable Flashlight 210,emergency,flashlight,Creekline,,,,,BoulderRambler Rechargeable Flashlight 210,emergency,flashlight,Creekline
20260712-0006,2026-07-12,S001,P1037,1,91.75,0,in_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1037,legacy_original,True,P1037,EmberRunner Packable Jacket 236,outerwear,rain shell,Blue Ridge Works,,,,,EmberRunner Packable Jacket 236,outerwear,rain shell,Blue Ridge Works
20260712-0007,2026-07-12,S005,P1078,1,146.35,0,pickup,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1078,legacy_original,True,P1078,SwitchbackRover 20oz Tumbler 277,hydration,insulated tumbler,Summit Finch,,,,,SwitchbackRover 20oz Tumbler 277,hydration,insulated tumbler,Summit Finch
20260712-0008,2026-07-12,S001,P1056,1,115.21,20,in_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1056,legacy_original,True,P1056,CanyonNomad Waterproof Trail Shoes 255,footwear,trail shoes,TrailForge,,,,,CanyonNomad Waterproof Trail Shoes 255,footwear,trail shoes,TrailForge
20260712-0009,2026-07-12,S005,P1042,1,92.2,20,in_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1042,legacy_original,True,P1042,VistaRover Trail Tumbler 241,hydration,insulated tumbler,Highland Ember,,,,,VistaRover Trail Tumbler 241,hydration,insulated tumbler,Highland Ember
20260712-0010,2026-07-12,S005,P1054,2,56.54,20,in_store,Y,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1054,legacy_original,True,P1054,TrailRover 20oz Tumbler 253,hydration,insulated tumbler,Summit Finch,,,,,TrailRover 20oz Tumbler 253,hydration,insulated tumbler,Summit Finch
20260712-0011,2026-07-12,S003,P1029,3,107.04,15,in_store,N,,legacy,data/raw/orders/2026-07-12/orders.csv,2026-07-12,,,,,P1029,legacy_original,True,P1029,FieldRunner Storm Kit Battery Pack 228,emergency,battery pack,Blue Ridge Works,,,,,FieldRunner Storm Kit Battery Pack 228,emergency,battery pack,Blue Ridge Works
