new_product_id,item_name,department,class,brand_name,msrp,gross_margin,launch_date,active
NP5001,SummitRunner Lightweight Jacket 200,apparel,waterproof outerwear,RTO House Brand,129.77,0.54,2019-01-01,Y
NP5002,RidgeRover Mid Trail Shoes 201,footwear,trail shoes,Highland Ember,205.57,0.42,2020-02-02,Y
NP5003,CreekRambler 2P Camp Chair 202,camping,camp chair,Creekline,441.63,0.32,2021-03-03,Y
NP5004,Storm Nomad Compact Cooler 203,patio,cooler,Moss and Mile,108.96,0.31,2022-04-04,Y
NP5005,EmberRunner Storm Kit Battery Pack 204,preparedness,power storage,Blue Ridge Outdoor Works,112.37,0.44,2023-05-05,Y
NP5006,Trail Rover 20oz Tumbler 205,drinkware,insulated tumbler,Summit Finch,55.38,0.54,2024-06-06,Y
NP5007,HearthRambler Storm proof Jacket 206,apparel,waterproof outerwear,Switchback Supply,109.09,0.43,2025-07-07,Y
NP5008,CanyonNomad Waterproof Trail Shoes 207,footwear,trail shoes,TrailForge,175.19,0.47,2019-08-08,Y
NP5009,PineRunner 4P Tent 208,camping,tent,RTO House Brand,118.72,0.32,2020-09-09,Y
NP5010,VistaRover Deluxe Patio Heater 209,patio,patio heater,Highland Ember,555.58,0.32,2021-10-10,Y
NP5011,BoulderRambler Rechargeable Flashlight 210,preparedness,flashlight,Creekline,132.66,0.35,2022-11-11,Y
NP5012,CloudNomad 32oz Tumbler 211,drinkware,insulated tumbler,Moss and Mile,120.05,0.54,2023-12-12,Y
NP5013,FieldRunner Packable Jacket 212,apparel,waterproof outerwear,Blue Ridge Outdoor Works,99.43,0.53,2024-01-13,Y
NP5014,SwitchbackRover Wide Trail Shoes 213,footwear,trail shoes,Summit Finch,212.08,0.36,2025-02-14,Y
NP5015,MoonRambler Ultralight Camp Chair 214,camping,camp chair,Switchback Supply,190.74,0.42,2019-03-15,Y
NP5016,PeakNomad XL Cooler 215,patio,cooler,TrailForge,648.67,0.38,2020-04-16,Y
NP5017,SummitRunner Mini Battery Pack 216,preparedness,power storage,RTO House Brand,63.28,0.37,2021-05-17,Y
NP5018,RidgeRover Trail Tumbler 217,drinkware,insulated tumbler,Highland Ember,150.17,0.53,2022-06-18,Y
NP5019,CreekRambler Alpine Jacket 218,apparel,waterproof outerwear,Creekline,179.93,0.5,2023-07-19,Y
NP5020,Storm Nomad Approach Trail Shoes 219,footwear,trail shoes,Moss and Mile,207.39,0.43,2024-08-20,Y
NP5021,EmberRunner Basecamp Tent 220,camping,tent,Blue Ridge Outdoor Works,73.7,0.35,2025-09-21,Y
NP5022,Trail Rover Weekend Patio Heater 221,patio,patio heater,Summit Finch,387.51,0.39,2019-10-22,Y
NP5023,HearthRambler Expedition Flashlight 222,preparedness,flashlight,Switchback Supply,144.84,0.4,2020-11-23,Y
NP5024,CanyonNomad Travel Tumbler 223,drinkware,insulated tumbler,TrailForge,88.37,0.4,2021-12-24,Y
NP5025,PineRunner Lightweight Jacket 224,apparel,waterproof outerwear,RTO House Brand,121.37,0.42,2022-01-01,Y
NP5026,VistaRover Mid Trail Shoes 225,footwear,trail shoes,Highland Ember,128.7,0.45,2023-02-02,Y
NP5027,BoulderRambler 2P Camp Chair 226,camping,camp chair,Creekline,93.13,0.3,2024-03-03,Y
NP5028,CloudNomad Compact Cooler 227,patio,cooler,Moss and Mile,629.06,0.37,2025-04-04,Y
NP5029,FieldRunner Storm Kit Battery Pack 228,preparedness,power storage,Blue Ridge Outdoor Works,122.43,0.47,2019-05-05,Y
NP5030,SwitchbackRover 20oz Tumbler 229,drinkware,insulated tumbler,Summit Finch,128.56,0.47,2020-06-06,Y
NP5031,MoonRambler Storm proof Jacket 230,apparel,waterproof outerwear,Switchback Supply,171.54,0.39,2021-07-07,Y
